dataset,model,seed,status,lr,batch_size,epochs_logged,best_epoch,val_metric,val_best,primary_name,secondary_name,test_ba,test_primary,test_secondary,published_value,published_std,diff,checkpoint,log
TUAB,cbramod,seed42,done,0.0001,32,10,1,pr_auc,0.92713,pr_auc,roc_auc,0.80697,0.89523,0.89098,0.9221,,-0.02687000000000006,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/tuab/20260918_200407_tuab_pid3553278.log
TUAB,cbramod,seed43,done,0.0001,32,10,1,pr_auc,0.92246,pr_auc,roc_auc,0.8022,0.88942,0.88458,0.9221,,-0.03268000000000004,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/tuab/20260918_211403_tuab_pid3569700.log
TUAB,cbramod,seed44,done,0.0001,32,10,1,pr_auc,0.92605,pr_auc,roc_auc,0.80745,0.89062,0.88991,0.9221,,-0.031480000000000063,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/tuab/20260918_222435_tuab_pid3587072.log
TUAB,cbramod,seed45,done,0.0001,32,10,1,pr_auc,0.92212,pr_auc,roc_auc,0.80602,0.89087,0.8854,0.9221,,-0.03122999999999998,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/tuab/20260918_233658_tuab_pid3613048.log
TUAB,cbramod,seed46,done,0.0001,32,10,1,pr_auc,0.92497,pr_auc,roc_auc,0.81037,0.89559,0.89352,0.9221,,-0.026510000000000034,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/tuab/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/tuab/20260919_005313_tuab_pid3636232.log
FACED,reve,seed42,done,0.0001,32,19,9,kappa,0.45741,kappa,f1,0.48376,0.41888,0.48575,0.508,0.0191,-0.08912000000000003,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/faced/20260918_085021_faced_pid3323349.log
FACED,reve,seed43,done,0.0001,32,31,21,kappa,0.50319,kappa,f1,0.54804,0.48978,0.54774,0.508,0.0191,-0.018220000000000014,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/faced/20260918_085827_faced_pid3326208.log
FACED,reve,seed44,done,0.0001,32,14,4,kappa,0.47848,kappa,f1,0.49235,0.42855,0.49551,0.508,0.0191,-0.07945000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/faced/20260918_091126_faced_pid3329742.log
FACED,reve,seed45,done,0.0001,32,31,21,kappa,0.50173,kappa,f1,0.53556,0.47528,0.53576,0.508,0.0191,-0.03272000000000003,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/faced/20260918_091734_faced_pid3332962.log
FACED,reve,seed46,done,0.0001,32,16,6,kappa,0.4898,kappa,f1,0.50389,0.44006,0.5049,0.508,0.0191,-0.06794,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/faced/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/faced/20260918_093111_faced_pid3339462.log
