dataset,model,seed,status,lr,batch_size,epochs_logged,best_epoch,val_metric,val_best,primary_name,secondary_name,test_ba,test_primary,test_secondary,published_value,published_std,diff,checkpoint,log
MentalArithmetic,reve,seed42,done,0.0001,64,30,25,pr_auc,0.65257,pr_auc,roc_auc,0.66319,0.66223,0.85663,0.747,0.0807,-0.08477000000000001,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/mentalarithmetic/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/mentalarithmetic/20260919_134733_mentalarithmetic_pid3396336.log
MentalArithmetic,reve,seed43,done,0.0001,64,30,24,pr_auc,0.65197,pr_auc,roc_auc,0.63542,0.66282,0.82523,0.747,0.0807,-0.08418000000000003,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/mentalarithmetic/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/mentalarithmetic/20260919_134836_mentalarithmetic_pid3396675.log
MentalArithmetic,reve,seed44,done,0.0001,64,30,30,pr_auc,0.61484,pr_auc,roc_auc,0.66319,0.57922,0.6101,0.747,0.0807,-0.16778000000000004,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/mentalarithmetic/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/mentalarithmetic/20260919_134936_mentalarithmetic_pid3397001.log
MentalArithmetic,reve,seed45,done,0.0001,64,30,28,pr_auc,0.682,pr_auc,roc_auc,0.75347,0.81997,0.9077,0.747,0.0807,0.07296999999999998,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/mentalarithmetic/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/mentalarithmetic/20260919_135040_mentalarithmetic_pid3397346.log
MentalArithmetic,reve,seed46,done,0.0001,64,23,13,pr_auc,0.53985,pr_auc,roc_auc,0.65278,0.61546,0.74855,0.747,0.0807,-0.13154,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/mentalarithmetic/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/mentalarithmetic/20260919_135138_mentalarithmetic_pid3397658.log
SEED-V,reve,seed42,done,0.0001,32,16,6,kappa,0.21851,kappa,f1,0.40558,0.25779,0.41278,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed42/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed42/vision/seed_v/20260920_051737_seed_v_pid3617564.log
SEED-V,reve,seed43,done,0.0001,32,13,3,kappa,0.22575,kappa,f1,0.40126,0.25094,0.40585,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed43/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed43/vision/seed_v/20260920_053412_seed_v_pid3622955.log
SEED-V,reve,seed44,done,0.0001,32,26,16,kappa,0.22109,kappa,f1,0.41139,0.26601,0.41951,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed44/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed44/vision/seed_v/20260920_060648_seed_v_pid3632181.log
SEED-V,reve,seed45,done,0.0001,32,17,7,kappa,0.21165,kappa,f1,0.40997,0.26357,0.41798,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed45/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed45/vision/seed_v/20260920_063314_seed_v_pid3638647.log
SEED-V,reve,seed46,done,0.0001,32,11,1,kappa,0.09381,kappa,f1,0.27083,0.08899,0.23938,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed46/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_seedv_poolno_v1/reve/seed46/vision/seed_v/20260920_065033_seed_v_pid3642916.log
SHU-MI,reve,seed42,done,0.0001,32,10,3,pr_auc,0.76948,pr_auc,roc_auc,0.64048,0.72679,0.72804,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/shu_mi/20260919_130829_shu_mi_pid3384376.log
SHU-MI,reve,seed43,done,0.0001,32,10,6,pr_auc,0.75384,pr_auc,roc_auc,0.64205,0.71813,0.71433,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/shu_mi/20260919_131042_shu_mi_pid3384962.log
SHU-MI,reve,seed44,done,0.0001,32,10,6,pr_auc,0.75837,pr_auc,roc_auc,0.63253,0.70323,0.70287,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/shu_mi/20260919_131251_shu_mi_pid3385535.log
SHU-MI,reve,seed45,done,0.0001,32,10,3,pr_auc,0.76534,pr_auc,roc_auc,0.63072,0.732,0.72566,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/shu_mi/20260919_131458_shu_mi_pid3386093.log
SHU-MI,reve,seed46,done,0.0001,32,10,5,pr_auc,0.78607,pr_auc,roc_auc,0.63201,0.71351,0.70863,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/shu_mi/20260919_131705_shu_mi_pid3386664.log
TUEV,reve,seed42,done,0.0001,32,10,1,kappa,0.54106,kappa,f1,0.62102,0.66203,0.82451,0.6783,0.0199,-0.016270000000000007,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/tuev/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/tuev/20260919_094221_tuev_pid3337385.log
TUEV,reve,seed43,done,0.0001,32,10,3,kappa,0.56598,kappa,f1,0.64152,0.64182,0.81522,0.6783,0.0199,-0.03648000000000007,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/tuev/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/tuev/20260919_095558_tuev_pid3340828.log
TUEV,reve,seed44,done,0.0001,32,10,4,kappa,0.529,kappa,f1,0.70338,0.70368,0.8475,0.6783,0.0199,0.025379999999999958,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/tuev/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/tuev/20260919_100928_tuev_pid3344021.log
